datetime, Max, Min, Average
01/11/2017 20, 160.800003052, 93.5, 125.61333274835657, 
01/11/2017 21, 176, 125.800003052, 152.21666564933338, 
01/11/2017 22, 175.399993896, 109.599998474, 129.63833402003334, 
01/11/2017 23, 117.900001526, 100.199996948, 110.27833353679998, 
01/12/2017 00, 116.5, 83.5, 94.40333328246666, 
01/12/2017 01, 109.199996948, 77.9000015259, 94.05500005086668, 
01/12/2017 02, 104.400001526, 79.0999984741, 88.51355963238983, 
01/12/2017 03, 147.699996948, 80, 89.66595734941065, 
01/12/2017 04, 103.599998474, 69.8000030518, 84.19818156848908, 
01/12/2017 05, 132, 93.3000030518, 106.54833335876998, 
01/12/2017 06, 219.600006104, 114.5, 153.39000040693335, 
01/12/2017 07, 185.300003052, 136.800003052, 158.43859675894734, 
01/12/2017 08, 226.199996948, 175.800003052, 196.4749998612727, 
01/12/2017 09, 185.399993896, 127, 146.47884647665384, 
01/12/2017 10, 279.600006104, 104.099998474, 142.94499931329995, 
01/12/2017 11, 117.800003052, 66.8000030518, 87.12166659037169, 
01/12/2017 12, 87.5, 48.0999984741, 54.38499997456833, 
01/12/2017 13, 228.300003052, 45.2999992371, 57.04166685740666, 
01/12/2017 14, 99.5, 46, 55.703333409635015, 
01/12/2017 15, 156.899993896, 45, 60.533333142596675, 
01/12/2017 16, 91.9000015259, 62.2000007629, 71.32666657765334, 
01/12/2017 17, 293.899993896, 66.1999969482, 79.27999979654001, 
01/12/2017 18, 103.400001526, 72, 86.72666676839336, 
01/12/2017 19, 152.399993896, 96.5, 122.69333368939667, 
01/12/2017 20, 145.100006104, 108.199996948, 130.98333257033335, 
01/12/2017 21, 149.5, 108.199996948, 133.94500045779995, 
01/12/2017 22, 161.600006104, 116, 136.11000073756668, 
01/12/2017 23, 114.400001526, 87.8000030518, 101.14833348593666, 
01/13/2017 00, 127.199996948, 89.4000015259, 104.49500020343997, 
01/13/2017 01, 198.199996948, 93.6999969482, 104.92333335875833, 
01/13/2017 02, 105.5, 91.3000030518, 98.05166638691834, 
01/13/2017 03, 95.3000030518, 86.3000030518, 90.39333368937666, 
01/13/2017 04, 129.899993896, 92.8000030518, 105.05000050864166, 
01/13/2017 05, 134.899993896, 100.400001526, 116.584746409322, 
01/13/2017 06, 199, -999, -727.2566668192667, 
01/13/2017 07, -999, -999, -999, 
01/13/2017 08, -999, -999, -999, 
01/13/2017 09, -999, -999, -999, 
01/13/2017 10, -999, -999, -999, 
01/13/2017 11, -999, -999, -999, 
01/13/2017 12, -999, -999, -999, 
01/13/2017 13, -999, -999, -999, 
01/13/2017 14, -999, -999, -999, 
01/13/2017 15, -999, -999, -999, 
01/13/2017 16, -999, -999, -999, 
01/13/2017 17, -999, -999, -999, 
01/13/2017 18, -999, -999, -999, 
01/13/2017 19, -999, -999, -999, 
01/13/2017 20, -999, -999, -999, 
01/13/2017 21, -999, -999, -999, 
01/13/2017 22, -999, -999, -999, 
01/13/2017 23, -999, -999, -999, 
01/14/2017 00, -999, -999, -999, 
01/14/2017 01, -999, -999, -999, 
01/14/2017 02, -999, -999, -999, 
01/14/2017 03, -999, -999, -999, 
01/14/2017 04, -999, -999, -999, 
01/14/2017 05, -999, -999, -999, 
01/14/2017 06, -999, -999, -999, 
01/14/2017 07, -999, -999, -999, 
01/14/2017 08, -999, -999, -999, 
